title,rating,detail,level
Complete Guide to TensorFlow for Deep Learning with Python,4.4,Learn how to use Google's Deep Learning Framework - TensorFlow with Python! Solve problems with cutting edge techniques! | By Jose Portilla,Intermediate
Learn BERT - most powerful NLP algorithm by Google,4.1,Understand and apply Google's game-changing NLP algorithm to real-world tasks. Build 2 NLP applications. | By Martin Jocqueviel,All Levels
Interactive Python Dashboards with Plotly and Dash,4.6,"Learn how to create interactive plots and intelligent dashboards with Plotly, Python, and the Dash library! | By Jose Portilla",Intermediate
Artificial Intelligence: Reinforcement Learning in Python,4.5,"Complete guide to Artificial Intelligence, prep for Deep Reinforcement Learning with Stock Trading Applications | By Lazy Programmer Inc.",Intermediate
Statistics for Business Analytics and Data Science A-Z™,4.4,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More! | By Kirill Eremenko",All Levels
Taming Big Data with Apache Spark and Python - Hands On!,4.4,"Dive right in with 15+ hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop! | By Sundog Education by Frank Kane",All Levels
"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",4.3,Become a Wizard of all the latest Computer Vision tools that exist out there. Detect anything and create powerful apps. | By Hadelin de Ponteves,All Levels
"2020 AWS SageMaker, AI and Machine Learning - With Python",4.4,Complete Guide to AWS Certified Machine Learning - Specialty and Practice Test | By Chandra Lingam,All Levels
PyTorch for Deep Learning with Python Bootcamp,4.6,Learn how to create state of the art neural networks for deep learning with Facebook's PyTorch Deep Learning library! | By Jose Portilla,All Levels
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",4.7,"VGG, ResNet, Inception, SSD, Neural Style Transfer, GANs +More Using CNNs in Tensorflow, Keras, and Python | By Lazy Programmer Inc.",Intermediate
Advanced AI: Deep Reinforcement Learning in Python,4.6,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks | By Lazy Programmer Inc.,Expert
Deep Learning: Advanced NLP and RNNs,4.6,"Natural Language Processing with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks! | By Lazy Programmer Inc.",All Levels
Deployment of Machine Learning Models,4.4,Build Machine Learning Model APIs | By Soledad Galli,Intermediate
Natural Language Processing with Deep Learning in Python,4.6,"Complete guide on deriving and implementing word2vec, GloVe, word embeddings, and sentiment analysis with recursive nets | By Lazy Programmer Inc.",Expert
Data Science: Deep Learning in Python,4.6,"The MOST in-depth look at neural network theory, and how to code one with pure Python and Tensorflow | By Lazy Programmer Inc.",Intermediate
Artificial Intelligence for Business,4.5,Solve Real World Business Problems with AI Solutions | By Hadelin de Ponteves,Beginner
Data Science: Natural Language Processing (NLP) in Python,4.6,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis. | By Lazy Programmer Inc.",All Levels
Machine Learning with Javascript,4.6,Master Machine Learning from scratch using Javascript and TensorflowJS with hands-on projects. | By Stephen Grider,Beginner
The Complete Self-Driving Car Course - Applied Deep Learning,4.6,"Learn to use Deep Learning, Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python | By Rayan Slim",All Levels
A-Z Machine Learning using Azure Machine Learning (AzureML),4.4,"Azure ML (Machine Learning): Azure Machine Learning Studio, Machine Learning on cloud, Machine Learning without coding | By Jitesh Khurkhuriya",All Levels
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,4.3,Learn Both SQL Server & PostgreSQL By Doing. Enhance Your Data Analytics Career With Real World Data Science Exercises | By Kirill Eremenko,All Levels
Probability and Statistics for Business and Data Science,4.5,Learn how to apply probability and statistics to real data science and business applications! | By Jose Portilla,All Levels
Data Science Career Guide - Interview Preparation,4.5,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions! | By Jose Portilla,All Levels
Bayesian Machine Learning in Python: A/B Testing,4.6,"Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More | By Lazy Programmer Inc.",All Levels
Feature Engineering for Machine Learning,4.6,Transform the variables in your data and build better performing machine learning models | By Soledad Galli,All Levels
Artificial Intelligence Masterclass,4.4,"Enter the new era of Hybrid AI Models optimized by Deep NeuroEvolution, with a complete toolkit of ML, DL & AI models | By Hadelin de Ponteves",Beginner
"Streaming Big Data with Spark Streaming, Scala, and Spark 3!",4.4,"Hands-on examples of processing massive streams of data - in real time, on a cluster - with Apache Spark Streaming. | By Sundog Education by Frank Kane",All Levels
The Complete Machine Learning Course with Python,4.2,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More! | By Codestars by Rob Percival",All Levels
Machine Learning Practical Workout | 8 Real-World Projects,4.5,"Build 8 Practical Projects and Go from Zero to Hero in Deep/Machine Learning, Artificial Neural Networks | By Dr. Ryan Ahmed, Ph.D., MBA",Beginner
Machine Learning Practical: 6 Real-World Applications,4.3,Machine Learning - Get Your Hands Dirty by Solving Real Industry Challenges with Python | By Kirill Eremenko,Intermediate
Cutting-Edge AI: Deep Reinforcement Learning in Python,4.7,"Apply deep learning to artificial intelligence and reinforcement learning using evolution strategies, A2C, and DDPG | By Lazy Programmer Inc.",Expert
Unsupervised Machine Learning Hidden Markov Models in Python,4.6,All Levels,9 total hours
The Beginner's Guide to Artificial Intelligence in Unity.,4.5,A practical guide to programming non-player characters for games. | By Penny de Byl,Beginner
Deep Learning: Convolutional Neural Networks in Python,4.6,Computer Vision and Data Science and Machine Learning combined! In Theano and TensorFlow | By Lazy Programmer Inc.,Intermediate
Deep Learning Prerequisites: Linear Regression in Python,4.6,Data science: Learn linear regression from scratch and build your own working program in Python for data analysis. | By Lazy Programmer Inc.,All Levels
Modern Deep Learning in Python,4.7,"Build with modern libraries like Tensorflow, Theano, Keras, PyTorch, CNTK, MXNet. Train faster with GPU on AWS. | By Lazy Programmer Inc.",All Levels
Data Science 2020 : Complete Data Science & Machine Learning,4.6,"Machine Learning A-Z, Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science | By Jitesh Khurkhuriya",All Levels
TensorFlow 2.0 Practical Advanced,4.2,"Master Tensorflow 2.0, Google’s most powerful Machine Learning Library, with 5 advanced practical projects | By Dr. Ryan Ahmed, Ph.D., MBA",All Levels
Deep Learning with TensorFlow 2.0 [2020],4.4,"Build Deep Learning Algorithms with TensorFlow 2.0, Dive into Neural Networks and Apply Your Skills in a Business Case | By 365 Careers",All Levels
Deep Learning with Python and Keras,4.4,"Understand and build Deep Learning models for images, text and more using Python and Keras | By Data Weekends",Intermediate
R Programming for Statistics and Data Science,4.5,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R | By 365 Careers,All Levels
Deep Learning: GANs and Variational Autoencoders,4.7,"Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow | By Lazy Programmer Inc.",Intermediate
Introduction to Time Series Analysis and Forecasting in R,4.4,"Work with time series and all sorts of time related data in R - Forecasting, Time Series Analysis, Predictive Analytics | By R-Tutorials Training",All Levels
A Complete Guide on TensorFlow 2.0 using Keras API,4.2,Build Amazing Applications of Deep Learning and Artificial Intelligence in TensorFlow 2.0 | By Hadelin de Ponteves,Beginner
Deep Learning Prerequisites: Logistic Regression in Python,4.6,Data science techniques for professionals and students - learn the theory behind logistic regression and code in Python | By Lazy Programmer Inc.,All Levels
Python for Statistical Analysis,4.6,Master applied Statistics with Python by solving real-world problems with state-of-the-art software and libraries | By Samuel Hinton,Beginner
Deep Learning: Recurrent Neural Networks in Python,4.6,"GRU, LSTM, + more modern deep learning, machine learning, and data science for sequences | By Lazy Programmer Inc.",All Levels
Deep Reinforcement Learning 2.0,4.5,"The smartest combination of Deep Q-Learning, Policy Gradient, Actor Critic, and DDPG | By Hadelin de Ponteves",Beginner
TensorFlow 2.0 Practical,4.4,"Master Tensorflow 2.0, Google’s most powerful Machine Learning Library, with 10 practical projects | By Dr. Ryan Ahmed, Ph.D., MBA",All Levels
Feature Selection for Machine Learning,4.6,From beginner to advanced | By Soledad Galli,All Levels
Cluster Analysis and Unsupervised Machine Learning in Python,4.5,"Data science techniques for pattern recognition, data mining, k-means clustering, and hierarchical clustering, and KDE. | By Lazy Programmer Inc.",Beginner
Scala and Spark for Big Data and Machine Learning,4.4,"Learn the latest Big Data technology - Spark and Scala, including Spark 2.0 DataFrames! | By Jose Portilla",All Levels
Mathematical Foundation For Machine Learning and AI,4.3,Learn the core mathematical concepts for machine learning and learn to implement them in R and python | By Eduonix Learning Solutions,All Levels
A Beginner's Guide To Machine Learning with Unity,4.4,"Advanced games AI with genetic algorithms, neural networks & Q-learning in C# and Tensorflow for Unity | By Penny de Byl",Intermediate
PyTorch for Deep Learning and Computer Vision,4.4,Build Highly Sophisticated Deep Learning and Computer Vision Applications with PyTorch | By Rayan Slim,All Levels
Unsupervised Deep Learning in Python,4.6,"Theano / Tensorflow: Autoencoders, Restricted Boltzmann Machines, Deep Neural Networks, t-SNE and PCA | By Lazy Programmer Inc.",Intermediate
Data Science: Supervised Machine Learning in Python,4.6,Full Guide to Implementing Classic Machine Learning Algorithms in Python and with Sci-Kit Learn | By Lazy Programmer Inc.,Beginner
Statistics for Data Analysis Using Excel 2016,4.5,Plain & Simple Lessons on Descriptive & Inferential Statistics Theory With Excel Examples for Business & Six Sigma | By Sandeep Kumar ­,All Levels
Full stack web development and AI with Python,4.7,"HTML, CSS, JavaScript, Python, Django, Pandas, Sklearn, Keras, Git, Linux, AWS - Full stack web dev + data science + AI | By John Harper",All Levels
"Data Science, Machine Learning and Data Analysis with Python",4.4,"Learn Data Science, Machine Learning and Data Analysis with Python and its libraries such as Numpy, Matplotlib etc.. | By Plumira DotCom",Beginner
"The Complete Neural Networks Bootcamp: Theory, Applications",4.4,Master Deep Learning and Neural Networks Theory and Applications with Python and PyTorch! Including NLP and Transformers | By Fawaz Sammani,Beginner
Modern Reinforcement Learning: Deep Q Learning in PyTorch,4.7,How to Turn Deep Reinforcement Learning Research Papers Into Agents That Beat Classic Atari Games | By Phil Tabor,Intermediate
Machine Learning and AI: Support Vector Machines in Python,4.7,Artificial Intelligence and Data Science Algorithms in Python for Classification and Regression | By Lazy Programmer Inc.,Expert
Machine Learning in JavaScript with TensorFlow.js,4.4,"Master machine learning with JavaScript and TensorFlowJS. Add artificial intelligence to websites, Node.js and web apps! | By tech.courses team",All Levels
OpenCV Complete Dummies Guide to Computer Vision with Python,4.3,"Includes all OpenCV Image Processing Features with Simple Examples. Deep Learning Face Detection, Face Recognition & OCR | By Abhilash Nelson",All Levels
Complete Data Science Training with Python for Data Analysis,4.3,Beginners python data analytics : Data science introduction : Learn data science : Python data analysis methods tutorial | By Minerva Singh,All Levels
Practical Deep Learning with PyTorch,4.4,Accelerate your deep learning with PyTorch covering all the fundamentals of deep learning with a python-first framework. | By Deep Learning Wizard,Beginner
Statistics for Data Analysis Using R,4.5,"Learn Programming in R & R Studio • Descriptive, Inferential Statistics • Plots for Data Visualization • Data Science | By Sandeep Kumar ­",All Levels
R Programming For Absolute Beginners,4.4,Learn the basics of writing code in R - your first step to become a data scientist | By Bogdan Anastasiei,Beginner
Machine Learning A-Z: Become Kaggle Master,4.4,Master Machine Learning Algorithms Using Python From Beginner to Super Advance Level including Mathematical Insights. | By Geekshub Pvt Ltd,All Levels
Probability for Statistics and Data Science,4.4,"Probability for improved business decisions: Introduction, Combinatorics, Bayesian Inference, Distributions | By 365 Careers",All Levels
"Python, Machine Learning and Algorithmic Trading Masterclass",4.3,Are you interested in how people successfully trade and invest? Learn how to break in and dominate the world of finance! | By John Bura,All Levels
Applied Statistical Modeling for Data Analysis in R,4.2,Your Complete Guide to Statistical Data Analysis and Visualization For Practical Applications in R | By Minerva Singh,All Levels
"Build Your own Self Driving Car | Deep Learning, OpenCV, C++",4.3,"Learn Raspberry Pi 3, Arduino UNO, Image Processing and Neural Networks (Machine Learning) for any Embedded IOT Project | By Rajandeep Singh",All Levels
Modern Natural Language Processing in Python,4.6,Solve Seq2Seq and Classification NLP tasks with Transformer and CNN using Tensorflow 2 in Google Colab | By Martin Jocqueviel,Intermediate
"Complete & Practical SAS, Statistics & Data Analysis Course",4.2,"A complete guide and use cases study for job seekers and beginners -- start career in SAS, Statistics and Data science | By Shenggang Li",All Levels
Introduction to Machine Learning for Data Science,4.4,"A primer on Machine Learning for Data Science. Revealed for everyday people, by the Backyard Data Scientist. | By David Valentine",Beginner
"Ensemble Machine Learning in Python: Random Forest, AdaBoost",4.6,"Ensemble Methods: Boosting, Bagging, Boostrap, and Statistical Machine Learning for Data Science in Python | By Lazy Programmer Inc.",All Levels
Statistics & Applied Data Science - Business Data Analysis,4.0,"Data Science Statistics : Data Science from Scratch for Beginners : Data Analysis Techniques, Method Course : Analytics | By Mahmoud Ali",All Levels
Hands On Natural Language Processing (NLP) using Python,4.4,"Learn Natural Language Processing ( NLP ) & Text Mining by creating text classifier, article summarizer, and many more. | By Next Edge Coding",All Levels
Advanced Web Scraping with Python using Scrapy & Splash,4.9,The most advanced web scraping & crawling course using Scrapy & Splash! Take your web scraping skills to the next level. | By Ahmed Rafik,Expert
Projects in Machine Learning : Beginner To Professional,4.3,A complete guide to master machine learning concepts and create real world ML solutions | By Eduonix Learning Solutions,All Levels
Artificial Intelligence 2018: Build the Most Powerful AI,4.6,"Learn, build and implement the most powerful AI model at home. Compete with multi-billion dollars companies using ARS. | By Hadelin de Ponteves",All Levels
Machine Learning Classification Bootcamp in Python,4.5,"Build 10 Practical Projects and Advance Your Skills in Machine Learning Using Python and Scikit Learn | By Dr. Ryan Ahmed, Ph.D., MBA",Intermediate
Machine Learning and Data Science Hands-on with Python and R,3.4,"Machine Learning, Statistics, Python, AI, Tensorflow, AWS, Deep Learning, R Programming, NLP, Bayesian, BI and much more | By EDU CBA",All Levels
Testing and Monitoring Machine Learning Model Deployments,4.8,"ML testing strategies, shadow deployments, production model monitoring and more | By Christopher Samiullah",Intermediate
Python for Machine Learning bootcamp,4.3,Learn to create Machine Learning Algorithms in Python from Zero to Hero | By behi school code,All Levels
Careers in Data Science A-Z™,4.6,"How to Become a Top Level Data Scientist - Learn What to Expect, How to be Prepared, How to Stand Out and More... | By Kirill Eremenko",Beginner
TensorFlow 2.0 Masterclass: Hands-On Deep Learning and AI,4.2,"Work on 6 Projects, Learn Deep Learning, AI, Keras, Python, ANN, CNN, RNN, LSTM, Transfer Learning, Autoencoder, NLP ! | By Vijay Gadhave",All Levels
Introduction to Machine Learning & Deep Learning in Python,4.4,"Regression, Naive Bayes Classifier, Support Vector Machines, Random Forest Classifier and Deep Neural Networks | By Holczer Balazs",All Levels
R Level 1 - Data Analytics with R,4.4,Use R for Data Analytics and Data Mining | By R-Tutorials Training,Beginner
Intro to Data Science: Your Step-by-Step Guide To Starting,4.5,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks! | By Kirill Eremenko",Beginner
Deploy Machine Learning & NLP Models with Dockers (DevOps),4.2,"Learn to build Machine Learning, Deep Learning & NLP Models & Deploy them with Docker Containers (DevOps) (in Python) | By UNP United Network of Professionals",Intermediate
ZERO to HERO Python 3 FULL STACK MASTERCLASS 45 AI projects,4.3,HTML To Artificial Intelligence Deep Learning bootcamp Cornell University course w/Machine Learning! New for 2018! | By GP Shan,All Levels
Deep Learning for Computer Vision with Tensor Flow and Keras,4.1,"Deep Learning review, CNNs, VGG-16, Faster R-CNN, TensorFlow Object Detection API, YOLO. Train your own data. | By CARLOS QUIROS",Intermediate
Architecting Big Data Solutions,4.1,"How to architect big data solutions by assembling various big data technologies - modules and best practices | By V2 Maestros, LLC",All Levels
Reinforcement Learning with Pytorch,3.9,"Learn to apply Reinforcement Learning and Artificial Intelligence algorithms using Python, Pytorch and OpenAI Gym | By Atamai AI Team",Beginner
Apache Spark with Java - Hands On!,4.6,Learn how to slice and dice data using the next generation big data platform - Apache Spark! | By Imtiaz Ahmad,All Levels
Data Science and Machine Learning Mathematics and Statistics,4.1,"Learn the Mathematics, Statistics and Probability behind Data Science, Machine Learning, Artificial Intelligence! | By The DataScience Stealth",All Levels
Data Science for Beginners: Hands-On Data Science in Python,4.5,"Machine Learning, Deep Learning, TensorFlow 2.0, Python, Regression, Classification, Clustering, NPL, Data Analysis ! | By Vijay Gadhave",All Levels
Data Science and Machine Learning using Python - A Bootcamp,4.5,"Numpy Pandas Matplotlib Seaborn Ploty Machine Learning Scikit-Learn Data Science Recommender system NLP Theory Hands-on | By Dr. Junaid Qazi, PhD",All Levels
Statistics / Data Analysis in SPSS: Inferential Statistics,4.6,Increase Your Data Analytic Skills – Highly Valued And Sought After By Employers | By Quantitative Specialists,All Levels
Introduction to Artificial Intelligence ( AI ) for Managers,4.4,"Data Science, Machine Learning, Deep Learning & Neural Networks for Beginners with Scikit-Learn & Python | By Kumaresan Ramanathan",Beginner
R Data Pre-Processing & Data Management - Shape your Data!,4.3,Learn how to prepare your data for great analytics in R. | By R-Tutorials Training,All Levels
Azure Cloud Azure Databricks Apache Spark Machine learning,3.0,"Big Data, Spark SQL, Hadoop, Kafka, Data Lake, Transfer Learning, Zeppelin Notebook, Graph, Hortonworks HDP, Cloudbreak | By Bigdata Engineer",All Levels
Algorithmic Problems in Python,4.3,"Learn recursion, backtracking (n-queens problem etc.) and dynamic programming (knapsack problem etc.) | By Holczer Balazs",All Levels
Learn Data Mining and Machine Learning With Python,4.7,Learn how to create Machine Learning algorithms in Python and use them in Data Mining | By Data Science Guide,All Levels
Machine Learning Optimization Using Genetic Algorithm,4.0,Learn how to optimize Machine Learning algorithms' performances and apply feature selection using Genetic Algorithm | By Curiosity for Data Science,Intermediate
Deploy Serverless Machine Learning Models to AWS Lambda,4.7,Use Serverless Framework for fast deployment of different ML models to scalable and cost-effective AWS Lambda service. | By Milan Pavlović,Beginner
Machine Learning Projects A-Z : Kaggle and Real World Pro,4.5,Master Machine Learning Kaggle and Real World Projects and Start Participating in Competitive Forums | By Geekshub Pvt Ltd,All Levels
Artificial Intelligence I: Basics and Games in Java,4.3,"A guide how to create smart applications, AI, genetic algorithms, pruning, heuristics and metaheuristics | By Holczer Balazs",All Levels
[2020] 12 Real World CaseStudies for Machine Learning,4.6,Master Machine Learning by getting your hands dirty on Real Life Case studies. Be A Kaggle and Industry Grandmaster. | By Cosmic .,All Levels
Applied Time Series Analysis and Forecasting with R Projects,4.4,Use R to work on real world time series analysis and forecasting examples. Applied data science with R. | By R-Tutorials Training,Intermediate
Survival Analysis in R,4.4,"Use R to master survival analysis, duration analysis, event time analysis or reliability analysis. | By R-Tutorials Training",All Levels
Regression Analysis for Statistics & Machine Learning in R,4.3,Learn Complete Hands-On Regression Analysis for Practical Statistical Modelling and Machine Learning in R | By Minerva Singh,All Levels
Machine Learning Regression Masterclass in Python,4.5,"Build 8+ Practical Projects and Master Machine Learning Regression Techniques Using Python, Scikit Learn and Keras | By Dr. Ryan Ahmed, Ph.D., MBA",Beginner
R Programming for Simulation and Monte Carlo Methods,4.2,"Learn to program statistical applications and Monte Carlo simulations with numerous ""real-life"" cases and R software. | By Geoffrey Hubona, Ph.D.",All Levels
Complete Time Series Analysis With Python,4.2,"Python Time Series: How To Use Data Science, Statistics & Machine Learning For Modelling Time Series Data in Python | By Minerva Singh",All Levels
Artificial Intelligence II - Neural Networks in Java,4.6,"Hopfield networks, neural networks, backpropagation, optical character recognition, feedforward networks | By Holczer Balazs",All Levels
Natural Language Processing (NLP) with Python and NLTK,4.1,"Practical Approach : Collecting and Preprocessing text data, Data Visualization, Model Building and NLP Apps | By CARLOS QUIROS",Beginner
Species Distribution Models with GIS & Machine Learning in R,4.4,Mapping Habitat Suitability for Conservation Using Machine Learning and GIS in R | By Minerva Singh,All Levels
Data Science Masterclass With R! 4 Projects+8 Case Studies,4.0,"Data Science by IITian -Data Science+R Programming ,Data analysis, Data Visualization, Data Science: Data Pre-processing | By Up Degree",All Levels
Generate and visualize data in Python and MATLAB,4.5,"Learn how to simulate and visualize data for data science, statistics, and machine learning in MATLAB and Python | By Mike X Cohen",All Levels
Machine Learning: Beginner Reinforcement Learning in Python,4.6,How to teach a neural network to play a game using delayed gratification in 146 lines of Python code | By Milo Spencer-Harper,Beginner
Artificial Intelligence & Machine Learning for Business,4.0,"The Ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and Entrepreneurs | By Analytics Vidhya",All Levels
Machine Learning Masterclass: From Beginner to Advanced,4.6,"A collaboration between 8 instructors! Jump into Python, TensorFlow, PyCharm, API & CIFAR-10 for mobile developmement. | By Mammoth Interactive",All Levels
Machine Learning for Data Science using MATLAB,4.6,"Learn to implement classification and clustering algorithms using MATLAB with practical examples, projects and datasets | By Nouman Azam",Beginner
Text Mining and Natural Language Processing in R,4.3,Hands-on text mining and natural language processing (NLP) training for data science applications in R | By Minerva Singh,All Levels
Statistics in R - The R Language for Statistical Analysis,4.4,"Statistics made easy with the open source R language. Learn about Regression, Hypothesis tests, R Commander ... | By R-Tutorials Training",Intermediate
Data Science & Machine Learning : Hands on Data Science 2020,4.4,"Numpy, Pandas, Matplotlib, Scikit-Learn, WebScraping, Data Science, Machine Learning, Pyspark, statistics, Data Science | By Ankit Mistry",All Levels
Deep Learning Complete Guide for Calculus - Machine Learning,4.2,Mastering Calculus for Deep learning / Machine learning / Data Science / Data Analysis / AI using Python | By Manifold AI Learning ®,Intermediate
Apache Spark Hands on Specialization for Big Data Analytics,4.2,In-depth course to master Apache Spark Development using Scala for Big Data (with 30+ real-world & hands-on examples) | By Irfan Elahi,All Levels
Mastering FinTech and Machine Learning!,4.2,Learn how successful people trade and invest! Dominate the world of Finance with Python and Machine Learning! | By Mammoth Interactive,All Levels
Complete Python for data science and cloud computing,4.2,A complete & in-depth use case course taught by data science PHD & business consultants with thousand examples | By Datagist INC,All Levels
Mathematics for Data Science and Machine Learning using R,4.5,"Learn the fundamental mathematics for Data Science, AI &ML using R | By Eduonix Learning Solutions",All Levels
Data Mining with R: Go from Beginner to Advanced!,4.0,"Learn to use R software for data analysis, visualization, and to perform dozens of popular data mining techniques. | By Geoffrey Hubona, Ph.D.",All Levels
Python Regression Analysis: Statistics & Machine Learning,4.8,Learn Complete Hands-On Regression Analysis for Practical Statistical Modelling and Machine Learning in Python | By Minerva Singh,All Levels
Machine Learning with Python from Scratch,3.8,"Mastering Machine Learning Algorithms including Neural Networks with Numpy, Pandas, Matplotlib, Seaborn and Scikit-Learn | By Tim Buchalka's Learn Programming Academy",Beginner
Linear Algebra for Data Science & Machine learning in Python,4.2,"Learn Concepts of Linear Algebra and Implement using Python 3, Hands on Numpy, Pandas for Data Science & Linear Algebra | By El Farouk Yasser",All Levels
Regression Analysis for Beginners,4.6,Learn Regression Analysis and build your own Regression Model step by step through real business scenarios | By Data Science Guide,All Levels
Machine Learning 2020: Complete Maths for Machine Learning,4.1,"Learn Math for Machine Learning, Math for Data Science, Linear Algebra, Calculus, Vectors & Matrices, Probability & more | By Jitesh Khurkhuriya",Beginner
Introduction to Artificial Neural Network and Deep Learning,4.5,The Best Machine Learning Techniques for Data Science in Java and Neuroph with Application in Image Recognition | By Prof. Seyedali Mirjalili,All Levels
Clustering & Classification With Machine Learning In Python,4.3,Harness The Power Of Machine Learning For Unsupervised & Supervised Learning In Python | By Minerva Singh,All Levels
The Complete Python Course for Machine Learning Engineers,4.3,The First Course in a Series for Mastering Python for Machine Learning Engineers | By Mike West,Beginner
Apache Spark 2.0 + Python : DO Big Data Analytics & ML,4.2,"Project Based, Hands-on Practices, Spark SQL, Spark Streaming, Real life Full cycle Project | By V2 Maestros, LLC",Beginner
Introduction to Natural Language Processing (NLP),4.3,Learn how to analyze text data. | By Brian Sacash,Beginner
Accelerate Deep Learning on Raspberry Pi,3.6,"How to Accelerate your AI Object Detection Models 5X faster on a Raspberry Pi 3, using Intel Movidius for Deep Learning | By Augmented Startups",Beginner
Practical Neural Networks and Deep Learning in Python,4.3,"Your Complete Guide to Implementing PyTorch, Keras, Tensorflow Algorithms: Neural Networks and Deep Learning in Python | By Minerva Singh",All Levels
Causal Data Science with Directed Acyclic Graphs,4.4,"Get to know the modern tools for causal inference from machine learning and AI, with many practical examples in R | By Paul Hünermund",All Levels
"The Python Masterclass: Build AI, ML and TensorFlow Models",4.2,"Learn to analyze data to make decisions and predict the future. Use project tools with Android support, Python and Java. | By Mammoth Interactive",All Levels
"Chatbot Building: Rasa, DialogFlow & WIT.AI Bots with Python",2.4,"Rasa NLU, Rasa Core, Google DialogFlow, Facebook's WIT.AI Talking Chatbot. Rasa Facebook Massenger Chatbot. Build a Bot. | By GoTrained Academy",All Levels
