title,rating,level,link,detail
Artificial Intelligence: Reinforcement Learning in Python,4.5,Intermediate,https://www.udemy.com/course/artificial-intelligence-reinforcement-learning-in-python/,"Complete guide to Artificial Intelligence, prep for Deep Reinforcement Learning with Stock Trading Applications | By Lazy Programmer Inc."
Statistics for Business Analytics and Data Science A-Z™,4.4,All Levels,https://www.udemy.com/course/data-statistics/,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More! | By Kirill Eremenko"
Taming Big Data with Apache Spark and Python - Hands On!,4.4,All Levels,https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/,"Dive right in with 15+ hands-on examples of analyzing large data sets with Apache Spark, on your desktop or on Hadoop! | By Sundog Education by Frank Kane"
"Deep Learning and Computer Vision A-Z™: OpenCV, SSD & GANs",4.3,All Levels,https://www.udemy.com/course/computer-vision-a-z/,Become a Wizard of all the latest Computer Vision tools that exist out there. Detect anything and create powerful apps. | By Hadelin de Ponteves
"2020 AWS SageMaker, AI and Machine Learning - With Python",4.4,All Levels,https://www.udemy.com/course/aws-machine-learning-a-complete-guide-with-python/,Complete Guide to AWS Certified Machine Learning - Specialty and Practice Test | By Chandra Lingam
PyTorch for Deep Learning with Python Bootcamp,4.6,All Levels,https://www.udemy.com/course/pytorch-for-deep-learning-with-python-bootcamp/,Learn how to create state of the art neural networks for deep learning with Facebook's PyTorch Deep Learning library! | By Jose Portilla
"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",4.7,Intermediate,https://www.udemy.com/course/advanced-computer-vision/,"VGG, ResNet, Inception, SSD, Neural Style Transfer, GANs +More Using CNNs in Tensorflow, Keras, and Python | By Lazy Programmer Inc."
Advanced AI: Deep Reinforcement Learning in Python,4.6,Expert,https://www.udemy.com/course/deep-reinforcement-learning-in-python/,The Complete Guide to Mastering Artificial Intelligence using Deep Learning and Neural Networks | By Lazy Programmer Inc.
Deep Learning: Advanced NLP and RNNs,4.6,All Levels,https://www.udemy.com/course/deep-learning-advanced-nlp/,"Natural Language Processing with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks! | By Lazy Programmer Inc."
Deployment of Machine Learning Models,4.4,Intermediate,https://www.udemy.com/course/deployment-of-machine-learning-models/,Build Machine Learning Model APIs | By Soledad Galli
Natural Language Processing with Deep Learning in Python,4.6,Expert,https://www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,"Complete guide on deriving and implementing word2vec, GloVe, word embeddings, and sentiment analysis with recursive nets | By Lazy Programmer Inc."
Data Science: Deep Learning in Python,4.6,Intermediate,https://www.udemy.com/course/data-science-deep-learning-in-python/,"The MOST in-depth look at neural network theory, and how to code one with pure Python and Tensorflow | By Lazy Programmer Inc."
Artificial Intelligence for Business,4.5,Beginner,https://www.udemy.com/course/ai-for-business/,Solve Real World Business Problems with AI Solutions | By Hadelin de Ponteves
Data Science: Natural Language Processing (NLP) in Python,4.6,All Levels,https://www.udemy.com/course/data-science-natural-language-processing-in-python/,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis. | By Lazy Programmer Inc."
Machine Learning with Javascript,4.6,Beginner,https://www.udemy.com/course/machine-learning-with-javascript/,Master Machine Learning from scratch using Javascript and TensorflowJS with hands-on projects. | By Stephen Grider
The Complete Self-Driving Car Course - Applied Deep Learning,4.6,All Levels,https://www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,"Learn to use Deep Learning, Computer Vision and Machine Learning techniques to Build an Autonomous Car with Python | By Rayan Slim"
A-Z Machine Learning using Azure Machine Learning (AzureML),4.4,All Levels,https://www.udemy.com/course/machine-learning-using-azureml/,"Azure ML (Machine Learning): Azure Machine Learning Studio, Machine Learning on cloud, Machine Learning without coding | By Jitesh Khurkhuriya"
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,4.3,All Levels,https://www.udemy.com/course/sqldatabases/,Learn Both SQL Server & PostgreSQL By Doing. Enhance Your Data Analytics Career With Real World Data Science Exercises | By Kirill Eremenko
Probability and Statistics for Business and Data Science,4.5,All Levels,https://www.udemy.com/course/probability-and-statistics-for-business-and-data-science/,Learn how to apply probability and statistics to real data science and business applications! | By Jose Portilla
Data Science Career Guide - Interview Preparation,4.5,All Levels,https://www.udemy.com/course/data-science-career-guide-interview-preparation/,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions! | By Jose Portilla
Bayesian Machine Learning in Python: A/B Testing,4.6,All Levels,https://www.udemy.com/course/bayesian-machine-learning-in-python-ab-testing/,"Data Science, Machine Learning, and Data Analytics Techniques for Marketing, Digital Media, Online Advertising, and More | By Lazy Programmer Inc."
Feature Engineering for Machine Learning,4.6,All Levels,https://www.udemy.com/course/feature-engineering-for-machine-learning/,Transform the variables in your data and build better performing machine learning models | By Soledad Galli
Artificial Intelligence Masterclass,4.4,Beginner,https://www.udemy.com/course/artificial-intelligence-masterclass/,"Enter the new era of Hybrid AI Models optimized by Deep NeuroEvolution, with a complete toolkit of ML, DL & AI models | By Hadelin de Ponteves"
"Streaming Big Data with Spark Streaming, Scala, and Spark 3!",4.4,All Levels,https://www.udemy.com/course/taming-big-data-with-spark-streaming-hands-on/,"Hands-on examples of processing massive streams of data - in real time, on a cluster - with Apache Spark Streaming. | By Sundog Education by Frank Kane"
The Complete Machine Learning Course with Python,4.2,All Levels,https://www.udemy.com/course/machine-learning-course-with-python/,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More! | By Codestars by Rob Percival"
Machine Learning Practical Workout | 8 Real-World Projects,4.5,Beginner,https://www.udemy.com/course/deep-learning-machine-learning-practical/,"Build 8 Practical Projects and Go from Zero to Hero in Deep/Machine Learning, Artificial Neural Networks | By Dr. Ryan Ahmed, Ph.D., MBA"
Machine Learning Practical: 6 Real-World Applications,4.3,Intermediate,https://www.udemy.com/course/machine-learning-practical/,Machine Learning - Get Your Hands Dirty by Solving Real Industry Challenges with Python | By Kirill Eremenko
Cutting-Edge AI: Deep Reinforcement Learning in Python,4.7,Expert,https://www.udemy.com/course/cutting-edge-artificial-intelligence/,"Apply deep learning to artificial intelligence and reinforcement learning using evolution strategies, A2C, and DDPG | By Lazy Programmer Inc."
Unsupervised Machine Learning Hidden Markov Models in Python,4.6,9 total hours,https://www.udemy.com/course/unsupervised-machine-learning-hidden-markov-models-in-python/,All Levels
The Beginner's Guide to Artificial Intelligence in Unity.,4.5,Beginner,https://www.udemy.com/course/artificial-intelligence-in-unity/,A practical guide to programming non-player characters for games. | By Penny de Byl
Deep Learning: Convolutional Neural Networks in Python,4.6,Intermediate,https://www.udemy.com/course/deep-learning-convolutional-neural-networks-theano-tensorflow/,Computer Vision and Data Science and Machine Learning combined! In Theano and TensorFlow | By Lazy Programmer Inc.
Deep Learning Prerequisites: Linear Regression in Python,4.6,All Levels,https://www.udemy.com/course/data-science-linear-regression-in-python/,Data science: Learn linear regression from scratch and build your own working program in Python for data analysis. | By Lazy Programmer Inc.
Modern Deep Learning in Python,4.7,All Levels,https://www.udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,"Build with modern libraries like Tensorflow, Theano, Keras, PyTorch, CNTK, MXNet. Train faster with GPU on AWS. | By Lazy Programmer Inc."
Data Science 2020 : Complete Data Science & Machine Learning,4.6,All Levels,https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/,"Machine Learning A-Z, Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data Science | By Jitesh Khurkhuriya"
TensorFlow 2.0 Practical Advanced,4.2,All Levels,https://www.udemy.com/course/tensorflow-2-practical-advanced/,"Master Tensorflow 2.0, Google’s most powerful Machine Learning Library, with 5 advanced practical projects | By Dr. Ryan Ahmed, Ph.D., MBA"
Deep Learning with TensorFlow 2.0 [2020],4.4,All Levels,https://www.udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/,"Build Deep Learning Algorithms with TensorFlow 2.0, Dive into Neural Networks and Apply Your Skills in a Business Case | By 365 Careers"
Deep Learning with Python and Keras,4.4,Intermediate,https://www.udemy.com/course/deep-learning-with-python-and-keras/,"Understand and build Deep Learning models for images, text and more using Python and Keras | By Data Weekends"
R Programming for Statistics and Data Science,4.5,All Levels,https://www.udemy.com/course/r-programming-for-statistics-and-data-science/,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R | By 365 Careers
Deep Learning: GANs and Variational Autoencoders,4.7,Intermediate,https://www.udemy.com/course/deep-learning-gans-and-variational-autoencoders/,"Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow | By Lazy Programmer Inc."
Introduction to Time Series Analysis and Forecasting in R,4.4,All Levels,https://www.udemy.com/course/time-series-analysis-and-forecasting-in-r/,"Work with time series and all sorts of time related data in R - Forecasting, Time Series Analysis, Predictive Analytics | By R-Tutorials Training"
A Complete Guide on TensorFlow 2.0 using Keras API,4.2,Beginner,https://www.udemy.com/course/tensorflow-2/,Build Amazing Applications of Deep Learning and Artificial Intelligence in TensorFlow 2.0 | By Hadelin de Ponteves
Deep Learning Prerequisites: Logistic Regression in Python,4.6,All Levels,https://www.udemy.com/course/data-science-logistic-regression-in-python/,Data science techniques for professionals and students - learn the theory behind logistic regression and code in Python | By Lazy Programmer Inc.
Python for Statistical Analysis,4.6,Beginner,https://www.udemy.com/course/python-for-statistical-analysis/,Master applied Statistics with Python by solving real-world problems with state-of-the-art software and libraries | By Samuel Hinton
Deep Learning: Recurrent Neural Networks in Python,4.6,All Levels,https://www.udemy.com/course/deep-learning-recurrent-neural-networks-in-python/,"GRU, LSTM, + more modern deep learning, machine learning, and data science for sequences | By Lazy Programmer Inc."
Deep Reinforcement Learning 2.0,4.5,Beginner,https://www.udemy.com/course/deep-reinforcement-learning/,"The smartest combination of Deep Q-Learning, Policy Gradient, Actor Critic, and DDPG | By Hadelin de Ponteves"
TensorFlow 2.0 Practical,4.4,All Levels,https://www.udemy.com/course/tensorflow-2-practical/,"Master Tensorflow 2.0, Google’s most powerful Machine Learning Library, with 10 practical projects | By Dr. Ryan Ahmed, Ph.D., MBA"
Feature Selection for Machine Learning,4.6,All Levels,https://www.udemy.com/course/feature-selection-for-machine-learning/,From beginner to advanced | By Soledad Galli
Cluster Analysis and Unsupervised Machine Learning in Python,4.5,Beginner,https://www.udemy.com/course/cluster-analysis-unsupervised-machine-learning-python/,"Data science techniques for pattern recognition, data mining, k-means clustering, and hierarchical clustering, and KDE. | By Lazy Programmer Inc."
Scala and Spark for Big Data and Machine Learning,4.4,All Levels,https://www.udemy.com/course/scala-and-spark-for-big-data-and-machine-learning/,"Learn the latest Big Data technology - Spark and Scala, including Spark 2.0 DataFrames! | By Jose Portilla"
Mathematical Foundation For Machine Learning and AI,4.3,All Levels,https://www.udemy.com/course/mathematical-foundation-for-machine-learning-and-ai/,Learn the core mathematical concepts for machine learning and learn to implement them in R and python | By Eduonix Learning Solutions
A Beginner's Guide To Machine Learning with Unity,4.4,Intermediate,https://www.udemy.com/course/machine-learning-with-unity/,"Advanced games AI with genetic algorithms, neural networks & Q-learning in C# and Tensorflow for Unity | By Penny de Byl"
PyTorch for Deep Learning and Computer Vision,4.4,All Levels,https://www.udemy.com/course/pytorch-for-deep-learning-and-computer-vision/,Build Highly Sophisticated Deep Learning and Computer Vision Applications with PyTorch | By Rayan Slim
Unsupervised Deep Learning in Python,4.6,Intermediate,https://www.udemy.com/course/unsupervised-deep-learning-in-python/,"Theano / Tensorflow: Autoencoders, Restricted Boltzmann Machines, Deep Neural Networks, t-SNE and PCA | By Lazy Programmer Inc."
Data Science: Supervised Machine Learning in Python,4.6,Beginner,https://www.udemy.com/course/data-science-supervised-machine-learning-in-python/,Full Guide to Implementing Classic Machine Learning Algorithms in Python and with Sci-Kit Learn | By Lazy Programmer Inc.
Statistics for Data Analysis Using Excel 2016,4.5,All Levels,https://www.udemy.com/course/statistics-using-excel/,Plain & Simple Lessons on Descriptive & Inferential Statistics Theory With Excel Examples for Business & Six Sigma | By Sandeep Kumar ­
Full stack web development and AI with Python,4.7,All Levels,https://www.udemy.com/course/unaicorn/,"HTML, CSS, JavaScript, Python, Django, Pandas, Sklearn, Keras, Git, Linux, AWS - Full stack web dev + data science + AI | By John Harper"
"Data Science, Machine Learning and Data Analysis with Python",4.4,Beginner,https://www.udemy.com/course/data-science-machine-learning-and-data-analysis-with-python-a/,"Learn Data Science, Machine Learning and Data Analysis with Python and its libraries such as Numpy, Matplotlib etc.. | By Plumira DotCom"
"The Complete Neural Networks Bootcamp: Theory, Applications",4.4,Beginner,https://www.udemy.com/course/the-complete-neural-networks-bootcamp-theory-applications/,Master Deep Learning and Neural Networks Theory and Applications with Python and PyTorch! Including NLP and Transformers | By Fawaz Sammani
Modern Reinforcement Learning: Deep Q Learning in PyTorch,4.7,Intermediate,https://www.udemy.com/course/deep-q-learning-from-paper-to-code/,How to Turn Deep Reinforcement Learning Research Papers Into Agents That Beat Classic Atari Games | By Phil Tabor
Machine Learning and AI: Support Vector Machines in Python,4.7,Expert,https://www.udemy.com/course/support-vector-machines-in-python/,Artificial Intelligence and Data Science Algorithms in Python for Classification and Regression | By Lazy Programmer Inc.
Machine Learning in JavaScript with TensorFlow.js,4.4,All Levels,https://www.udemy.com/course/machine-learning-in-javascript-with-tensorflow-js/,"Master machine learning with JavaScript and TensorFlowJS. Add artificial intelligence to websites, Node.js and web apps! | By tech.courses team"
OpenCV Complete Dummies Guide to Computer Vision with Python,4.3,All Levels,https://www.udemy.com/course/draft/1967192/,"Includes all OpenCV Image Processing Features with Simple Examples. Deep Learning Face Detection, Face Recognition & OCR | By Abhilash Nelson"
Complete Data Science Training with Python for Data Analysis,4.3,All Levels,https://www.udemy.com/course/complete-data-science-training-with-python-for-data-analysis/,Beginners python data analytics : Data science introduction : Learn data science : Python data analysis methods tutorial | By Minerva Singh
Practical Deep Learning with PyTorch,4.4,Beginner,https://www.udemy.com/course/practical-deep-learning-with-pytorch/,Accelerate your deep learning with PyTorch covering all the fundamentals of deep learning with a python-first framework. | By Deep Learning Wizard
Statistics for Data Analysis Using R,4.5,All Levels,https://www.udemy.com/course/statistics-using-r/,"Learn Programming in R & R Studio • Descriptive, Inferential Statistics • Plots for Data Visualization • Data Science | By Sandeep Kumar ­"
R Programming For Absolute Beginners,4.4,Beginner,https://www.udemy.com/course/r-programming-course-for-absolute-beginners/,Learn the basics of writing code in R - your first step to become a data scientist | By Bogdan Anastasiei
Machine Learning A-Z: Become Kaggle Master,4.4,All Levels,https://www.udemy.com/course/machine-learning-become-kaggle-master/,Master Machine Learning Algorithms Using Python From Beginner to Super Advance Level including Mathematical Insights. | By Geekshub Pvt Ltd
Probability for Statistics and Data Science,4.4,All Levels,https://www.udemy.com/course/probability-for-statistics-and-data-science/,"Probability for improved business decisions: Introduction, Combinatorics, Bayesian Inference, Distributions | By 365 Careers"
"Python, Machine Learning and Algorithmic Trading Masterclass",4.3,All Levels,https://www.udemy.com/course/python-machine-learning-and-algorithmic-trading-masterclass/,Are you interested in how people successfully trade and invest? Learn how to break in and dominate the world of finance! | By John Bura
Applied Statistical Modeling for Data Analysis in R,4.2,All Levels,https://www.udemy.com/course/applied-statistical-modeling-for-data-analysis-in-r/,Your Complete Guide to Statistical Data Analysis and Visualization For Practical Applications in R | By Minerva Singh
"Build Your own Self Driving Car | Deep Learning, OpenCV, C++",4.3,All Levels,https://www.udemy.com/course/selfdrivingcar/,"Learn Raspberry Pi 3, Arduino UNO, Image Processing and Neural Networks (Machine Learning) for any Embedded IOT Project | By Rajandeep Singh"
Modern Natural Language Processing in Python,4.6,Intermediate,https://www.udemy.com/course/modern-nlp/,Solve Seq2Seq and Classification NLP tasks with Transformer and CNN using Tensorflow 2 in Google Colab | By Martin Jocqueviel
"Complete & Practical SAS, Statistics & Data Analysis Course",4.2,All Levels,https://www.udemy.com/course/complete-practical-sas-statistics-data-analysis-course/,"A complete guide and use cases study for job seekers and beginners -- start career in SAS, Statistics and Data science | By Shenggang Li"
Introduction to Machine Learning for Data Science,4.4,Beginner,https://www.udemy.com/course/machine-learning-for-data-science/,"A primer on Machine Learning for Data Science. Revealed for everyday people, by the Backyard Data Scientist. | By David Valentine"
"Ensemble Machine Learning in Python: Random Forest, AdaBoost",4.6,All Levels,https://www.udemy.com/course/machine-learning-in-python-random-forest-adaboost/,"Ensemble Methods: Boosting, Bagging, Boostrap, and Statistical Machine Learning for Data Science in Python | By Lazy Programmer Inc."
Statistics & Applied Data Science - Business Data Analysis,4.0,All Levels,https://www.udemy.com/course/ureadup_sds/,"Data Science Statistics : Data Science from Scratch for Beginners : Data Analysis Techniques, Method Course : Analytics | By Mahmoud Ali"
Hands On Natural Language Processing (NLP) using Python,4.4,All Levels,https://www.udemy.com/course/hands-on-natural-language-processing-using-python/,"Learn Natural Language Processing ( NLP ) & Text Mining by creating text classifier, article summarizer, and many more. | By Next Edge Coding"
Advanced Web Scraping with Python using Scrapy & Splash,4.9,Expert,https://www.udemy.com/course/advanced-web-scraping-with-python-using-scrapy-splash/,The most advanced web scraping & crawling course using Scrapy & Splash! Take your web scraping skills to the next level. | By Ahmed Rafik
Projects in Machine Learning : Beginner To Professional,4.3,All Levels,https://www.udemy.com/course/machine-learning-for-absolute-beginners/,A complete guide to master machine learning concepts and create real world ML solutions | By Eduonix Learning Solutions
Artificial Intelligence 2018: Build the Most Powerful AI,4.6,All Levels,https://www.udemy.com/course/artificial-intelligence-ars/,"Learn, build and implement the most powerful AI model at home. Compete with multi-billion dollars companies using ARS. | By Hadelin de Ponteves"
Machine Learning Classification Bootcamp in Python,4.5,Intermediate,https://www.udemy.com/course/machine-learning-classification/,"Build 10 Practical Projects and Advance Your Skills in Machine Learning Using Python and Scikit Learn | By Dr. Ryan Ahmed, Ph.D., MBA"
Machine Learning and Data Science Hands-on with Python and R,3.4,All Levels,https://www.udemy.com/course/machine-learning-masterclass/,"Machine Learning, Statistics, Python, AI, Tensorflow, AWS, Deep Learning, R Programming, NLP, Bayesian, BI and much more | By EDU CBA"
Testing and Monitoring Machine Learning Model Deployments,4.8,Intermediate,https://www.udemy.com/course/testing-and-monitoring-machine-learning-model-deployments/,"ML testing strategies, shadow deployments, production model monitoring and more | By Christopher Samiullah"
Python for Machine Learning bootcamp,4.3,All Levels,https://www.udemy.com/course/python-for-machine-learning-bootcamp/,Learn to create Machine Learning Algorithms in Python from Zero to Hero | By behi school code
Careers in Data Science A-Z™,4.6,Beginner,https://www.udemy.com/course/careers-in-data-science-a-ztm/,"How to Become a Top Level Data Scientist - Learn What to Expect, How to be Prepared, How to Stand Out and More... | By Kirill Eremenko"
TensorFlow 2.0 Masterclass: Hands-On Deep Learning and AI,4.2,All Levels,https://www.udemy.com/course/tensorflow-20-masterclass-hands-on-deep-learning-and-ai/,"Work on 6 Projects, Learn Deep Learning, AI, Keras, Python, ANN, CNN, RNN, LSTM, Transfer Learning, Autoencoder, NLP ! | By Vijay Gadhave"
Introduction to Machine Learning & Deep Learning in Python,4.4,All Levels,https://www.udemy.com/course/introduction-to-machine-learning-in-python/,"Regression, Naive Bayes Classifier, Support Vector Machines, Random Forest Classifier and Deep Neural Networks | By Holczer Balazs"
R Level 1 - Data Analytics with R,4.4,Beginner,https://www.udemy.com/course/r-level1/,Use R for Data Analytics and Data Mining | By R-Tutorials Training
Intro to Data Science: Your Step-by-Step Guide To Starting,4.5,Beginner,https://www.udemy.com/course/intro-to-data-science/,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks! | By Kirill Eremenko"
Deploy Machine Learning & NLP Models with Dockers (DevOps),4.2,Intermediate,https://www.udemy.com/course/deploy-data-science-nlp-models-with-docker-containers/,"Learn to build Machine Learning, Deep Learning & NLP Models & Deploy them with Docker Containers (DevOps) (in Python) | By UNP United Network of Professionals"
ZERO to HERO Python 3 FULL STACK MASTERCLASS 45 AI projects,4.3,All Levels,https://www.udemy.com/course/zero-to-pro-python-3-fullstack-data-bootcamp-45-ai-projects/,HTML To Artificial Intelligence Deep Learning bootcamp Cornell University course w/Machine Learning! New for 2018! | By GP Shan
Deep Learning for Computer Vision with Tensor Flow and Keras,4.1,Intermediate,https://www.udemy.com/course/deep-learning-for-computer-vision-with-tensor-flow-and-keras/,"Deep Learning review, CNNs, VGG-16, Faster R-CNN, TensorFlow Object Detection API, YOLO. Train your own data. | By CARLOS QUIROS"
Architecting Big Data Solutions,4.1,All Levels,https://www.udemy.com/course/architecting-big-data-solutions/,"How to architect big data solutions by assembling various big data technologies - modules and best practices | By V2 Maestros, LLC"
Reinforcement Learning with Pytorch,3.9,Beginner,https://www.udemy.com/course/reinforcement-learning-with-pytorch/,"Learn to apply Reinforcement Learning and Artificial Intelligence algorithms using Python, Pytorch and OpenAI Gym | By Atamai AI Team"
Apache Spark with Java - Hands On!,4.6,All Levels,https://www.udemy.com/course/the-ultimate-apache-spark-with-java-course-hands-on/,Learn how to slice and dice data using the next generation big data platform - Apache Spark! | By Imtiaz Ahmad
Data Science and Machine Learning Mathematics and Statistics,4.1,All Levels,https://www.udemy.com/course/data-science-and-machine-learning-mathematics-and-statistics-y/,"Learn the Mathematics, Statistics and Probability behind Data Science, Machine Learning, Artificial Intelligence! | By The DataScience Stealth"
Data Science for Beginners: Hands-On Data Science in Python,4.5,All Levels,https://www.udemy.com/course/data-science-for-beginners-hands-on-data-science-in-python/,"Machine Learning, Deep Learning, TensorFlow 2.0, Python, Regression, Classification, Clustering, NPL, Data Analysis ! | By Vijay Gadhave"
Data Science and Machine Learning using Python - A Bootcamp,4.5,All Levels,https://www.udemy.com/course/data-science-and-machine-learning-using-python-bootcamp-qazi/,"Numpy Pandas Matplotlib Seaborn Ploty Machine Learning Scikit-Learn Data Science Recommender system NLP Theory Hands-on | By Dr. Junaid Qazi, PhD"
Statistics / Data Analysis in SPSS: Inferential Statistics,4.6,All Levels,https://www.udemy.com/course/inferential-statistics-spss/,Increase Your Data Analytic Skills – Highly Valued And Sought After By Employers | By Quantitative Specialists
Introduction to Artificial Intelligence ( AI ) for Managers,4.4,Beginner,https://www.udemy.com/course/intro-ai-for-managers/,"Data Science, Machine Learning, Deep Learning & Neural Networks for Beginners with Scikit-Learn & Python | By Kumaresan Ramanathan"
R Data Pre-Processing & Data Management - Shape your Data!,4.3,All Levels,https://www.udemy.com/course/r-data-management-shape-your-data/,Learn how to prepare your data for great analytics in R. | By R-Tutorials Training
Azure Cloud Azure Databricks Apache Spark Machine learning,3.0,All Levels,https://www.udemy.com/course/azure-cloud-azure-databricks-apache-spark-machine-learning/,"Big Data, Spark SQL, Hadoop, Kafka, Data Lake, Transfer Learning, Zeppelin Notebook, Graph, Hortonworks HDP, Cloudbreak | By Bigdata Engineer"
